text,category,sentiment,offensive
ഇത്തരം  വനജീവികളെ വീട്ടിൽ  വളർത്തുന്നവരോട് പറയാനുള്ളത് പല യുട്യൂബ് ചാനലുകാരും  വരും  ഇവറ്റകളുടെ സ്നേഹം മറ്റുള്ളവരിലേക്ക്  കാണിച്ചു കൊടുക്കാൻ വേണ്ടി  അവരുടെ ലക്ഷ്യം  വരുമാനമാണ്   നാട്ടുകാർ അറിയുമ്പോൾ വനപാലകരും അറിയും  അവസാനം അതിനെ പിടിച്ചു കാട്ടിലേക്കും അയക്കും   ചാനലുകാരന്  ആ വീഡിയോ കണ്ടു അവന്റെ പോകാറ്റും നിറയും  അതുകൊണ്ടു  നിങ്ങളോടു ഇണങ്ങി കഴിയുന്ന ജീവികളെ കുറിച്ചു വീഡിയോ എടുക്കാൻ ആരെങ്കിലും വന്നാൽ  അതിനു  തയ്യാറാവാതിരിക്കുക     തയ്യാറായാൽ  നഷ്ട്ടം നിങ്ങൾക്കും ലാഭം യുട്യൂബ് ചാനലുകാരന് മാത്രമായിരിക്കും,Pets_and_Animals,negative,0
ജീവിതത്തിൽ പലപ്പോഴും തോന്നിട്ടുണ്ട്  സുഹൃത്തുക്കളെക്കാൾ വിശ്വസിക്കാവുന്ന ഒന്നാണ് മിണ്ടപ്രാണികൾ ഒറ്റക്ക് ഇരിക്കുമ്പോൾ ഇവര് കാണിക്കുന്ന കോപ്രായങ്ങൾ ഒരുപാട് സന്തോഷിപ്പിക്കും അതാണ്  മൃഗങ്ങൾ ,Pets_and_Animals,positive,0
ഈ പൂച്ച കുട്ടിയെ ഞങ്ങളാ വാങ്ങിയത് സുറുമി എന്ന പേരിട്ടത് ഞങളെ വീട്ടിലെ കുഞ്ഞിനെ പോലെ തന്നെ പൊന്നുപോലെ നോക്കുന്നു അവൾക് കൂട്ടായി ഒരു ആളുകൂടി ഉണ്ട് ഇവിടെ അബുട്ടന് 2 പേരും സുഖമായിരിക്കുന്നു ,Pets_and_Animals,positive,0
അവന്റെ കണ്ണുകളിൽ അന്നു കണ്ട ദയനീയത കണ്ടവർക്ക് ഇന്നവന്റെ മാറ്റം കണ്ടാൽ മനസ്സിലാകുംനന്ദി നല്ലതേ വരൂ എല്ലാവർക്കും,Pets_and_Animals,positive,0
പൊള്ളിയാലോ  ഗ്രീൻ ഗപ്പി ഫുഡ്  ഈ വിഡിയോ  ഇട്ട  ഗിരീഷ് ഏട്ടന്  എന്റെ   പ്രതീക   അഭിനന്ദനങ്ങൾ  ഞാൻ  2വർഷം ആയിട്ടു   യൂസ്  ചെയുന്നു  താങ്ക്യൂ  എല്ലാ  വിവേഴ്സിനും       നിയാഗപ്പി  ഫാം      അഭിനന്ദനങ്ങൾ ,Pets_and_Animals,positive,0
ജാസ്മിനിൽ പൂർണമായി  ആ വൈരാഗ്യം അവസാനിക്കും എന്ന് ഇപ്പോഴും വിശ്വസിക്കാത്ത ഒരാൾ ആണ് ഞാൻ നമുക്ക് നോക്കാം ഡോക്ടർ പറയുന്ന പോലെ എന്തെങ്കിലും പണി വരാൻ ഉണ്ടോ എന്ന് ,Pets_and_Animals,negative,0
പൊന്നേട്ടൻ വിശേഷങ്ങൾ നന്നായി പോകുന്നുണ്ട് ട്ടോ ആശാൻ്റെ തിരിച്ച് വരവ് അത് സംഭവിച്ചാൽ അത് ഞങ്ങളെ പോലുള്ളവർക്ക് ഒരു ആകസ്മികമായ കാഴ്ച്ചകളിൽ ഒന്നായിരിക്കും ആശാൻ ഒരാനയെ എഴുന്നള്ളിച്ച് നേരിട്ട് കണ്ടിട്ടില്ലാത്ത ഒരാൾ എന്ന നിലക്ക്,Pets_and_Animals,positive,0
ഗുരുവായൂർ കണ്ണന്റെ ഇന്ദ്രസേൻ ഗജരത്നം പത്മനാഭന് ശേഷം പുന്നത്തൂർ കോട്ടയുടെ കിരീടവും ചെങ്കോലും ഏറ്റുവാങ്ങാൻ ജന്മമെടുത്ത മരതകമാണിക്ക്യം പുന്നത്തൂർ കോട്ടയിലെ കിരീടം വയ്ക്കാത്ത രാജാവ് ദേവലോകം വാഴും ദേവേന്ദ്രനെപ്പോൽ ഗജലോകം കിരീടം വച്ചു വാഴാൻ ഗുരുപവനപുരിതന്നിൽ കുടികൊള്ളും ഇന്ദ്രനിവൻചേലെഴും ചെന്താമര ചെവിയഴകുമായി കാണുന്ന കണ്ണുകളെ കുളിരണിയിക്കും കണ്ണന്റെ മണ്ണിലെ കരിവീരചന്തംഗജരാജൻ ഗുരുവായൂർ ദേവസ്വം ഇന്ദ്രസെൻ,Pets_and_Animals,positive,0
ചെരിഞ്ഞപ്പോൾ ആദരാഞ്ജലികൾ ഇടാൻ എല്ലാവരുമുണ്ട് ഇതിനു തീരെ വയ്യ ഭക്ഷണമോ ചികിത്സയോ കൊടുക്കുന്നില്ല ആനയുടെ അവസ്ഥ വളരെ മോശമാണെന്നു രണ്ടു യൂട്യൂബ്  ചാനലിലെ വന്നുള്ളൂആനകൾക്ക് ആരോഗ്യം ഉള്ളപ്പോൾ എല്ലാവരും ഉണ്ട് പാവങ്ങൾക്ക് വയ്യാതെവന്നാൽ തിരിഞ്ഞുനോക്കില്ല ഇതാണോ ആനപ്രേമം,Pets_and_Animals,negative,0
ടീം നോക്കാതെ ക്രിക്കറ്റ് കണ്ടിരുന്ന കാലം 260 പൊരുതാവുന്ന സ്കോറും 280 വിജയിക്കാനുള്ള റണ്ണുമായിരുന്ന സമയത്തായിരുന്നു 444 ചേസ് ചെയ്തുള്ള ദക്ഷിണാഫ്രിക്കയുടെ ജയം,Sports,positive,0
ഓസീസിൽ ജനിച്ച് ഐപിഎൽ ലെ മികച്ച പ്രകടനത്തിനു പിന്നാലെ നെതർലണ്ടിന് വേണ്ടി അരങ്ങേറി പിന്നീട് ഓസീസ് ടീമിൽ ഇടം കിട്ടിയ ഡിർക് നാനസിനെ പെട്ടന്ന് ഓർത്തുപോയി,Sports,positive,0
അവസാന ഓവർ വരെ മുട്ടി കളിച്ചു ധോണി അവസാന ഓവറിൽ അടിച്ചു ജയിപ്പിച്ചാൽ ലോകത്തിലെ ഏറ്റവും വലിയ  ഫിനിഷർ പക്ഷെ എന്നെങ്കിലും ഒരു ദിവസം അയാൾക്ക് അത് ചെയ്യാൻ സാധിക്കാതെ പോയാൽ അയാളായി ഏറ്റവും വലിയ സെൽഫിഷ് കളിക്കാരൻ ഇതിൽ പറഞ്ഞ ഒട്ടുമിക്ക കളിക്കാരും സെൽഫിഷ് ആയതുകൊണ്ടല്ല അവർ അങ്ങനെ ഒരു കളി കളിച്ചത് അത് അവരുടെ ദിവസം അല്ലാത്തതുകൊണ്ട് മാത്രമാണ്,Sports,positive,0
കൊൽക്കത്തയ്ക്ക് ഇതുവരെ ഒരു സെറ്റ് ആയ പ്ലെയിങ് ഇലവൻ കണ്ടെത്താൻ കഴിഞ്ഞിട്ടില്ലഎല്ലാ മത്സരങ്ങളിലും ഒരു മാറ്റമെങ്കിലും വരുത്തിയിരിക്കുംശ്രേയസ് റാണ ഒരു പരിധി വരെ റസ്സൽ തുടങ്ങിയവർ ഒഴിച്ചാൽ കാര്യമായി സ്കോറിങ് വരുന്നില്ല  ഓപ്പണിങ് തോൽവി,Sports,negative,0
മുടി നീട്ടി കറുത്ത്  ഉയരം കുറഞ്ഞ ഒരു മനുഷ്യൻ ഈ മഹാരാജ്യത്തിൻ്റെ രാഷ്ട്രപതിയായിട്ടുണ്ട് ഭാരതീയർ ഗാന്ധിജിയ്ക്കും ബോസിനും ഒപ്പം ഏറ്റവും ആരാധിക്കുന്ന മഹാരഥൻ ശ്രീ അബ്ദുൾ കലാം,Travel_and_Events,positive,0
ദിൽഷാദിന്റെ  പതിനഞ്ചു മാസത്തെ  മുപ്പത്തി രാജ്യങ്ങൾ വഴിയുള്ള  യാത്ര പ്ലാനിംഗ് സുഗമം  ആയി എക്സിക്യൂട്ട് ചെയാൻ സാധിക്കട്ടെ അശ്രഫു അവിടെ വന്നു ഹൃദയത്തിന്റെ ഭാഷയിൽ നൽകിയ സപ്പോർട് വളരെ  പ്രശംസനീയം  ,Travel_and_Events,positive,0
ചെയ്തു മൊതലാളീ ചെയ്തു ഒരു മിനുട്ടുപോലും വേണ്ടാ എല്ലാരും ഒന്ന് ഒത്തുപിടിക്കൂ ഇവനെ നുമ്മക്ക് സ്വിറ്റസർലണ്ടിലേക്ക് കിട്ടീലെങ്കിൽ ആന്തമാനിലേക്കെങ്കിലും നാടുകടത്തണം,Travel_and_Events,negative,0
അളിയോ പൊളിച്ചു,Travel_and_Events,positive,0
ബാറ്ററിക്കുപകരം ഒരു മൊബൈല് ചാര്ജര് ഉപയോഗിക്കുകയും അതിലേക്ക് വേണ്ട കരണ്ട് മോട്ടോര് സ്വിച്ചില് നിന്ന് എടുക്കുകയും ചെയ്താല്  മോട്ടോര് ഓഫാക്കുന്നതോടെ അലാറവും നില്കും,Travel_and_Events,neutral,0
നല്ല വണ്ടിയാണ് എല്ലാം കൊണ്ടും നെഗറ്റീവ് ആയി ഉള്ളത് 7സീറ്റർ ആയിട്ടും 1000ക്ക് ഉള്ളു അത് ചില സമയത്തു വലി കുറവുള്ളതായി തോന്നി പിന്നെ ടയർ സൈസ് കൂട്ടിയാൽ റോഡ് പ്രെസൻസ് കുറച്ചു കൂടി ബെറ്റർ ആവും,Travel_and_Events,negative,0
വയ്യ എനിക്ക് ഇത് മുഴുവനും കേൾക്കാൻ  മനസ്സ് വിതുമ്പുന്നു   കണ്ണുകൾ കലങ്ങി  നിറഞ്ഞു ഒഴുകുന്നു   കവിൾതടം നനയുന്നു  എന്നിലേ ഓർമ്മകളേ ഒരപേക്ഷ കാലങ്ങൾ എത്ര മാഞ്ഞാലുംഒരിക്കലും മണിയുടെഓർമ്മകളെ മറക്കാൻ എന്നെ അനുവധിക്കരുതേ പ്ലീസ് ,Travel_and_Events,negative,0
ഒരു വളവ് വരുമ്പോൾ ഗിയർ ഡൗൺ ചെയ്യുന്നതോടൊപ്പം തന്നെ ബ്രേക്കിംഗ് കൂടി പിടിക്കേണ്ടി വരികയില്ല ഇത് ശരിക്കും നോർമൽ സ്പീഡിൽ വരുമ്പോൾ ഉള്ള കാര്യമാണ് പറയുന്നത് അപ്പോഴും ഈ പറയുന്ന പെട്രോൾ ചെലവ് ഉണ്ടാവുകയില്ല ഇവിടെ,Travel_and_Events,neutral,0
